Time,soc_max temp,cpu_big1 temp,cpu_big2 temp,cpu_big3 temp,cpu_big4 temp,cpu_little1 temp,cpu_little2 temp,cpu_little3 temp,cpu_little4 temp,gpu2 temp,gpu1 temp,soc1 temp,soc2 temp,soc3 temp,soc4 temp,md1 temp,md2 temp,md3 temp,md4 temp,consys temp,pmic6377_vs1 temp,pmic6377_vbuck2 temp,pmic6377_vemc temp,pmic6377_vmch temp,ap_ntc temp,ltepa_ntc temp,nrpa_ntc temp,tsx_ntc temp,main_board_ntc temp,chargeric_ntc temp,fled_ntc temp,camera_main temp,camera_sub temp,camera_main_two temp,camera_sub_two temp,mtk-master-charger temp,mtk-slave-charger temp,mtk-mst-div-chg temp,mtk-slv-div-chg temp,mtk-mst-hvdiv-chg temp,mtk-slv-hvdiv-chg temp,battery temp,CPU0 freq,CPU0 usage,CPU1 freq,CPU1 usage,CPU2 freq,CPU2 usage,CPU3 freq,CPU3 usage,CPU4 freq,CPU4 usage,CPU5 freq,CPU5 usage,CPU6 freq,CPU6 usage,CPU7 freq,CPU7 usage,VPU limit, CPU limit,GPU limit,GPU Usage,GPU f,TTJ,FPS,FPS cur lmt,game mode,WiFi Tx Tput kbps,MD Tx Tput kbps,Iin limit,Ibat limit,PEP30 Iin lmt,2nd Iin limit,2nd Ibat limit,SOC,UISOC,VBAT,IBAT,minTCHR,MaxTCHR,VBUS,AICR,Chr Type,PEP cur lmt,Tbat,Vbat,Ibat,cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,updateFPS,tm_input_fps,fstb_fps_cur_limit,avg_fps_limit,in_game_mode,cur_cpu_time,cur_gpu_time,fstb_level,range,PPM_Tskin_limit,Ibat2,
16:15:29.524,39951,39554,39951,38071,37995,37505,36634,36221,36389,33103,33638,32675,34051,33485,34096,34112,34280,32736,32522,23000,34346,32198,31662,33272,30287,29538,29400,30357,29350,30380,29650,-274000,-274000,-274000,-274000,-127000,0,-12700,0,0,0,28000,2000000,25.0,2000000,25.0,2000000,25.641024,2000000,26.724136,2000000,24.347824,2000000,27.58621,2400000,47.41379,2400000,95.76271,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,3878000,-644000,1,1,1,1,1,1,1,1,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,
16:15:30.544,34066,32690,33210,34066,34448,33500,33668,33668,33837,32629,32980,32247,33194,32323,32507,33042,33042,32445,32231,23000,32736,32198,31662,32735,30396,29540,29400,30508,29350,30238,29700,-274000,-274000,-274000,-274000,-127000,0,-12700,0,0,0,28000,2000000,0.99999905,2000000,1.9801974,2000000,1.9801974,2000000,0.99999905,2000000,5.000001,2000000,2.9126227,2400000,24.038464,2400000,9.803921,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,3909000,-545500,1,1,1,1,1,1,1,1,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,
16:15:31.561,35243,33622,34142,34708,35075,34983,35166,35044,35243,32980,33194,32537,33577,32721,33103,32522,33210,31620,31788,23000,33809,32735,32199,33272,30467,29535,29406,30629,29350,30333,29800,-274000,-274000,-274000,-274000,-127000,0,-12700,0,0,0,29000,2000000,12.244898,2000000,14.705885,2000000,16.504854,2000000,14.705885,2000000,16.666668,2000000,13.861388,2400000,2.9999971,2400000,4.901963,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,3939000,13800,1,1,1,1,1,1,1,1,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,
16:15:32.581,35503,33118,33638,34784,35166,34738,34952,34998,35503,35151,34845,34142,34051,33057,33454,33729,33928,34112,33638,23000,33272,32735,32199,33809,30527,29538,29414,30720,29400,30523,29850,-274000,-274000,-274000,-274000,-127000,0,-12700,0,0,0,29000,2000000,23.30097,2000000,18.627453,2000000,20.79208,2000000,19.791668,2000000,14.432991,2000000,16.326529,2400000,5.8252454,2400000,2.9999971,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,3938000,-60900,1,1,1,1,1,1,1,1,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,
16:15:33.599,34051,32812,32904,33638,33898,33317,33928,34051,33882,33363,33408,32461,33286,32507,32415,32568,32828,32445,32354,23000,33272,32198,32199,33809,30632,29543,29428,30816,29400,30619,29950,-274000,-274000,-274000,-274000,-127000,0,-12700,0,0,0,29000,2000000,13.861388,2000000,13.592232,2000000,8.999997,2000000,10.101008,2000000,12.7451,2000000,10.891092,2400000,2.9126227,2400000,0.9708762,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,3947000,76700,1,1,1,1,1,1,1,1,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,
16:15:34.631,33592,32782,33042,33347,33592,32889,32980,32935,33026,32583,32935,31941,32629,31375,31589,31926,32308,32904,32354,23000,32736,32198,32199,32735,30710,29564,29438,30882,29400,30714,29950,-274000,-274000,-274000,-274000,-127000,0,-12700,0,0,0,29000,650000,2.9702961,650000,2.9702961,650000,3.9215684,650000,2.9702961,650000,1.9801974,650000,2.9411793,700000,0.9803951,700000,0.0,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,3951000,179300,1,1,1,1,1,1,1,1,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,
16:15:34.990,33882,33454,33852,33775,33852,34096,34142,34142,33928,32354,32323,31284,31712,31100,31757,32568,32522,32568,31528,23000,33272,32198,32199,33809,30726,29575,29444,30893,29450,30761,29950,-274000,-274000,-274000,-274000,-127000,0,-12700,0,0,0,29000,1350000,8.823532,1700000,22.500002,1700000,8.571428,1700000,11.111111,2000000,21.05263,2000000,11.111111,1700000,8.571428,1700000,8.333331,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,3951000,179300,1,1,1,1,1,1,1,1,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,
