07/31/26 10:58:27,Start Time:,1785466707.7,Duration:,10,Time Precision:,4,Time Adjustment:,0,Target Size:,100

Time Offset,AVDD_I,AVDD_P,AVDD_V,CAM_AFVDD2_2V8_I,CAM_AFVDD2_2V8_P,CAM_AFVDD2_2V8_V,CH15_SPM_I,CH15_SPM_P,CH15_SPM_V,CH23_SPM_I,CH23_SPM_P,CH23_SPM_V,ELVDD_I,ELVDD_P,ELVDD_V,EMI_VDD1_DDR_I,EMI_VDD1_DDR_P,EMI_VDD1_DDR_V,EMI_VDD2H_DDR_I,EMI_VDD2H_DDR_P,EMI_VDD2H_DDR_V,EMI_VDD2L_DDR_I,EMI_VDD2L_DDR_P,EMI_VDD2L_DDR_V,EMI_VDDQ_DDR_I,EMI_VDDQ_DDR_P,EMI_VDDQ_DDR_V,FCAM_AVDD_2P8_I,FCAM_AVDD_2P8_P,FCAM_AVDD_2P8_V,FCAM_DVDD_1P05_I,FCAM_DVDD_1P05_P,FCAM_DVDD_1P05_V,FCAM_VCAMIO_I,FCAM_VCAMIO_P,FCAM_VCAMIO_V,MCAM_AVDD_2P8_I,MCAM_AVDD_2P8_P,MCAM_AVDD_2P8_V,MCAM_DVDD_1V1_I,MCAM_DVDD_1V1_P,MCAM_DVDD_1V1_V,OLED_DVDD_I,OLED_DVDD_P,OLED_DVDD_V,OLED_VCI_I,OLED_VCI_P,OLED_VCI_V,OLED_VDDI_I,OLED_VDDI_P,OLED_VDDI_V,SAR_VDD_1P8_I,SAR_VDD_1P8_P,SAR_VDD_1P8_V,System Messages,,TSP_IO_CON_I,TSP_IO_CON_P,TSP_IO_CON_V,UFS_VCC_2V5_UFS_I,UFS_VCC_2V5_UFS_P,UFS_VCC_2V5_UFS_V,VBB1_BOB_I,VBB1_BOB_P,VBB1_BOB_V,VCAMIO_I,VCAMIO_P,VCAMIO_V,VCAMIO_WIDE_I,VCAMIO_WIDE_P,VCAMIO_WIDE_V,VIO18_PMU_6319_I,VIO18_PMU_6319_P,VIO18_PMU_6319_V,VIO18_PMU_6685_I,VIO18_PMU_6685_P,VIO18_PMU_6685_V,VIO18_PMU_A_G_I,VIO18_PMU_A_G_P,VIO18_PMU_A_G_V,VIO18_PMU_FLICKER_I,VIO18_PMU_FLICKER_P,VIO18_PMU_FLICKER_V,VIO18_PMU_HAC_I,VIO18_PMU_HAC_P,VIO18_PMU_HAC_V,VIO18_PMU_M_I,VIO18_PMU_M_P,VIO18_PMU_M_V,VIO18_PMU_PL_I,VIO18_PMU_PL_P,VIO18_PMU_PL_V,VIO18_PMU_REV_I,VIO18_PMU_REV_P,VIO18_PMU_REV_V,VIO18_PMU_SPK_I,VIO18_PMU_SPK_P,VIO18_PMU_SPK_V,VLEDA_PL_I,VLEDA_PL_P,VLEDA_PL_V,VSYS_6685_I,VSYS_6685_P,VSYS_6685_V,VSYS_AVDD_I,VSYS_AVDD_P,VSYS_AVDD_V,VSYS_CHG_I,VSYS_CHG_P,VSYS_CHG_V,VSYS_DVE_I,VSYS_DVE_P,VSYS_DVE_V,VSYS_ELVDD_I,VSYS_ELVDD_P,VSYS_ELVDD_V,VSYS_FLASH_I,VSYS_FLASH_P,VSYS_FLASH_V,VSYS_HAC_I,VSYS_HAC_P,VSYS_HAC_V,VSYS_PVIN_I,VSYS_PVIN_P,VSYS_PVIN_V,VSYS_REV_I,VSYS_REV_P,VSYS_REV_V,VSYS_SPK_I,VSYS_SPK_P,VSYS_SPK_V,VSYS_VIB_I,VSYS_VIB_P,VSYS_VIB_V,VTP_PMU_I,VTP_PMU_P,VTP_PMU_V,VUFS12_PMU_I,VUFS12_PMU_P,VUFS12_PMU_V,WCAM_AVDD_2P8_I,WCAM_AVDD_2P8_P,WCAM_AVDD_2P8_V,WIDE_DVDD_1P2_I,WIDE_DVDD_1P2_P,WIDE_DVDD_1P2_V
0.924,13.3925,99.0241,7394,-0.02,-0,1.375,-0.045,-0,1,-0.0175,-0,1.625,8.08,37.17,4600.25,2.0525,3.6976,1801.5,7.43,7.8359,1054.625,2.75,2.5376,922.75,0.75,0.3785,504.625,-0.0075,-0,1.625,-0.0325,-0.0001,2.5,0.0225,0.0409,1819.25,-0.005,-0,0.5,-0.25,-0.0007,2.75,46.84,60.9037,1300.25,0.0925,0.2744,2966.75,6.87,12.3462,1797.125,0.0375,0.0681,1817.125,,,0.715,1.2873,1800.375,0.02,0,1.5,8.6,30.1881,3510.25,-0.0275,-0.05,1817.5,0.015,0.0273,1821.5,10798.5,19044.5046,1763.625,1.8,3.2733,1818.5,0.1575,0.2866,1819.5,0,0,1819.75,-0.05,-0.0911,1821.25,692.18,1209.1519,1746.875,0.245,0.4461,1820.875,0.04,0.0728,1820,-0.05,-0.0909,1818.75,6.01,19.8135,3296.75,1.15,4.5392,3947.125,28.79,113.6701,3948.25,120.15,474.7877,3951.625,0.855,3.3755,3948,10.755,42.4513,3947.125,0.035,0.1383,3951.125,-0.55,-2.1717,3948.5,2.99,11.8098,3949.75,0,0,3948.375,-0.25,-0.9884,3953.5,0.0325,0.1283,3948.25,0.2325,0.7683,3304.625,0.325,0.3923,1207,-0.0025,-0,2.125,0.0125,0,0.75
1.02,14.795,109.4035,7394.625,0.01,0,1.125,-0.0225,-0,0.875,-0.0575,-0.0002,2.875,8.0225,36.8814,4597.25,2.04,3.6789,1803.375,9.925,10.4547,1053.375,3.65,3.3603,920.625,2,1.0077,503.875,0.005,0,1.75,0.0125,0,0.75,-0.0075,-0.0137,1820.875,0.0025,0,1.5,-1,-0.0003,0.25,49.3725,64.0793,1297.875,0.1025,0.3042,2968.25,7.7325,13.8943,1796.875,0.0075,0.0136,1816.125,,,2.3975,4.317,1800.625,0,0,1.375,7.2,25.245,3506.25,0.0275,0.05,1818,0.025,0.0455,1819.625,10799.85,19037.4356,1762.75,1.95,3.5463,1818.625,0.1725,0.3138,1819.125,0.04,0.0728,1820.125,-0.3,-0.5462,1820.5,691.985,1208.5518,1746.5,0.1075,0.1956,1819.75,0.0175,0.0319,1820.875,0.05,0.091,1820.375,0.0375,0.1237,3298.5,0.7,2.762,3945.75,29.81,117.6079,3945.25,124.7,492.3468,3948.25,0.8575,3.3836,3945.875,10.8925,42.9764,3945.5,-0.025,-0.0986,3945.875,-0.05,-0.1973,3946.25,3.23,12.7452,3945.875,0.3,1.1832,3944.125,0.4,1.5788,3946.875,-0.0425,-0.1677,3946.125,1.6,5.283,3301.875,0.3025,0.3652,1207.125,-0.0325,-0,0.75,0.0425,0,0.75
1.116,13.005,96.1655,7394.5,-0.0075,-0,1.375,0.005,0,1.5,-0.0125,-0,0.25,8.05,37.0209,4598.875,2.36,4.2548,1802.875,10.515,11.0828,1054,5,4.6081,921.625,1.05,0.5312,505.875,0.0175,0,0.75,0.01,0,1.375,0.005,0.0091,1820.875,0.005,0,1.5,0.15,0.0003,2,46.4425,60.294,1298.25,0.06,0.178,2966.25,6.8525,12.3285,1799.125,0.0325,0.0591,1817.25,,,0.7575,1.3653,1802.375,-0.045,-0,0.75,10.25,35.9391,3506.25,0,0,1819.375,0.0375,0.0683,1822,10799.6,19034.295,1762.5,2.5,4.5394,1815.75,0.2,0.364,1820,-0.0075,-0.0136,1816.875,0.1,0.1819,1819.375,691.81,1208.8515,1747.375,0.1775,0.323,1819.875,-0.03,-0.0547,1822.25,-0.45,-0.8181,1818,0.03,0.099,3300.625,0.5,1.9718,3943.625,28.4,112.0096,3944,128.6,507.2627,3944.5,0.8925,3.5217,3945.875,10.9275,43.0953,3943.75,-0.005,-0.0197,3945.5,-0.05,-0.1973,3945.125,2.8525,11.2531,3945,-0.7,-2.759,3941.375,0.25,0.9858,3943.125,0.0625,0.2465,3944.75,0.245,0.8087,3300.875,0.2725,0.3289,1206.875,-0.0025,-0,1.875,0.0275,0,0.75
1.212,17.07,126.2177,7394.125,-0.02,-0,1.75,-0.025,-0,1.625,-0.0325,-0.0001,1.875,7.98,36.694,4598.25,2.365,4.2629,1802.5,11.7025,12.3461,1055,5.8,5.3331,919.5,1.9,0.9621,506.375,0.0025,0,0.75,0.0175,0,1.125,0.0125,0.0228,1822.375,0.0275,0,0.875,-0.15,-0.0003,1.75,62.2725,80.7519,1296.75,0.09,0.2673,2970.125,8.575,15.4329,1799.75,0.01,0.0182,1818,,,1.34,2.411,1799.25,-0.0025,-0,0.5,5,17.5475,3509.5,0.0375,0.0682,1817.625,0.0125,0.0228,1821.375,10799.55,19043.6565,1763.375,2.45,4.4556,1818.625,0.1875,0.3412,1819.5,0.0025,0.0045,1818.125,-0.5,-0.9106,1821.25,691.385,1208.4546,1747.875,0.1625,0.2957,1819.5,0.0175,0.0318,1818.375,0.35,0.6363,1818.125,0.0275,0.0906,3296,0.8,3.1554,3944.25,34.2525,134.9977,3941.25,119.35,471.1938,3948,0.8775,3.4636,3947.125,10.695,42.1704,3943,0.06,0.2367,3944.25,0,0,3945.25,3.1475,12.4161,3944.75,0.7,2.763,3947.125,-0.05,-0.1974,3948.75,0.035,0.138,3942.875,0.565,1.8657,3302.125,0.29,0.3497,1206,-0.0075,-0,2.125,0.0275,0,1
1.308,12.7775,,7395.25,-0.035,,1.875,-0.035,,1,-0.0475,,1,8.04,,4601.75,1.91,,1801.5,8.95,,1054.375,2.1,,920.25,1.65,,504.875,0.0275,,1.125,0.0025,,0.5,0.0375,,1822.125,-0.025,,1.375,0.05,,1.25,44.835,,1298.875,0.0225,,2968,6.905,,1796.25,0.025,,1815.25,,,1.86,,1800,-0.04,,1.375,5.6,,3509.625,0.01,,1818.375,-0.0025,,1821.75,10798.75,,1763.375,0.9,,1819.625,0.2025,,1817.375,-0.0175,,1817.875,0.6,,1820.625,692.185,,1745.5,0.0825,,1820.25,-0.0375,,1818.75,-0.1,,1818.75,0,,3293,0.6,,3946.875,26.29,,3951.125,119.3,,3949.875,0.8925,,3952.25,10.86,,3949.375,0.035,,3949.625,0.2,,3948.25,2.7275,,3952.125,1.15,,3950.75,0.9,,3951.875,0.065,,3949.75,1.365,,3302.125,0.3975,,1204.375,0.02,,2,-0.0225,,1
1.404,14.7275,,7393.375,0.0075,,2.25,-0.0375,,1.375,-0.0275,,1.625,8.015,,4596.625,2.065,,1802.75,7.2175,,1055.5,3.8,,922.25,1.55,,505.25,0.015,,1.625,0,,1.625,-0.0025,,1820.25,-0.0025,,0.875,-0.3,,2,55.075,,1299.125,0.045,,2969,7.6475,,1796.625,0.0325,,1817,,,1.25,,1802.75,-0.01,,1.375,8.35,,3510.125,0.0225,,1817.125,0.03,,1821.625,10798.75,,1762.625,1.45,,1819.875,0.1725,,1818.125,0.035,,1819,0.1,,1820.125,691.9425,,1747.5,0.2275,,1817.25,0.04,,1816.875,0.35,,1817.75,0.0325,,3301.875,0.35,,3950.25,29.53,,3947.25,115,,3951.875,0.8625,,3949.5,10.785,,3948.375,0.0125,,3948.875,-0.15,,3949.875,2.8025,,3950.625,0.15,,3947.125,1.3,,3951.625,0.0325,,3950.875,0.22,,3302.75,0.345,,1206.125,0.0225,,2.375,0.0225,,0.875
1.5,13.0825,96.7042,7391.875,-0.0475,-0.0001,1.125,-0.01,-0,2.5,-0.03,-0,1.125,8.08,37.1579,4598.75,1.9475,3.5099,1802.25,9.835,10.3735,1054.75,3.1,2.8578,921.875,1.4,0.7098,507,-0.015,-0,1.25,0.005,0,1.625,-0.0125,-0.0228,1822,-0.0325,-0,0.625,-0.1,-0.0001,0.5,49.905,64.7954,1298.375,0.0775,0.2298,2965.25,7.71,13.8414,1795.25,0.035,0.0636,1818.375,,,1.57,2.8244,1799,0,0,1.125,8.1,28.4118,3507.625,0.03,0.0545,1816.75,-0.025,-0.0455,1819.75,10798.5,19033.7061,1762.625,1.85,3.3656,1819.25,0.2125,0.3863,1818,0,0,1816,-0.5,-0.9109,1821.875,691.34,1208.1167,1747.5,0.17,0.3092,1818.875,0.0125,0.0227,1819.875,0.25,0.4542,1816.875,0.0225,0.0742,3298.5,0.85,3.3568,3949.125,27.0575,106.7452,3945.125,118.5,467.8232,3947.875,0.8875,3.5046,3948.875,10.9025,43.0499,3948.625,0.0375,0.148,3947.5,0.15,0.5925,3950.125,2.8675,11.3227,3948.625,0.35,1.3816,3947.5,0.55,2.1715,3948.125,0.04,0.1578,3945.75,1.165,3.8462,3301.5,0.3425,0.4132,1206.375,-0.02,-0,1.125,-0.0175,-0,1.25
1.596,14.565,107.6845,7393.375,0.045,0,0.5,-0.0375,-0.0001,1.375,-0.0125,-0,1.5,8.0825,37.1563,4597.125,2.18,3.9295,1802.5,8.52,8.9971,1056,4.4,4.0552,921.625,1.4,0.7077,505.5,0,0,1.875,0.015,0,0.625,0.035,0.0637,1820.375,0.0025,0,1.125,0.65,0.0005,0.75,46.4325,60.1881,1296.25,0.055,0.1632,2967.125,6.905,12.41,1797.25,0.015,0.0273,1817.875,,,0.715,1.2866,1799.375,-0.0375,-0.0001,1.625,4.9,17.188,3507.75,-0.0075,-0.0136,1818.75,0.0175,0.0319,1820.625,10798.35,19028.0425,1762.125,1.9,3.4523,1817,0.215,0.3915,1821.125,0,0,1816,-0.15,-0.273,1820.25,692.0975,1209.1808,1747.125,0.1325,0.2412,1820.625,-0.035,-0.0636,1818.25,-0.6,-1.0918,1819.625,0.0275,0.0907,3298.25,-0.1,-0.3948,3948.25,29.7075,117.2221,3945.875,119.4,471.5255,3949.125,0.89,3.5138,3948.125,10.7275,42.3334,3946.25,0.05,0.1975,3949.875,-0.7,-2.7634,3947.75,2.6025,10.276,3948.5,0.5,1.9753,3950.625,-0.7,-2.7627,3946.75,0.01,0.0395,3949,0.2175,0.7181,3301.75,0.3425,0.4128,1205.25,0.005,0,1.125,0.0025,0,1.375
1.692,16.93,125.172,7393.5,-0.05,-0,0.5,0.0025,0,0.5,-0.045,-0.0001,2.75,7.995,36.767,4598.75,1.8625,3.359,1803.5,8.5525,8.9972,1052,3.85,3.5444,920.625,0.9,0.4551,505.625,-0.0075,-0,1.75,0.045,0.0001,2.125,-0,-0,1821.375,0.01,0,2,-0.6,-0.0008,1.375,58.3925,75.6402,1295.375,0.0625,0.1852,2963.625,8.575,15.4018,1796.125,0.035,0.0636,1818.125,,,2.5225,4.5421,1800.625,-0.03,-0.0001,1.875,4.1,14.3895,3509.625,-0.0225,-0.0409,1818.875,0.025,0.0455,1821.25,10799.3,19045.9155,1763.625,1.7,3.0965,1821.5,0.1625,0.2958,1820.125,0.03,0.0545,1816.25,-0.35,-0.6367,1819.25,691.355,1207.5379,1746.625,0.2175,0.3951,1816.5,0.0475,0.0864,1819.125,-0.35,-0.6367,1819.25,0.0525,0.1732,3298.5,1.15,4.5396,3947.5,33.89,133.7045,3945.25,114.6,452.5124,3948.625,0.875,3.4542,3947.625,10.8,42.6236,3946.625,-0.0425,-0.1677,3945.625,0,0,3947.5,2.8825,11.3841,3949.375,-0.1,-0.3949,3949.25,0.35,1.3824,3949.75,0.04,0.1577,3943,2.655,8.7715,3303.75,0.3175,0.3827,1205.375,-0.005,-0,1.125,0.0075,0,1.125
1.788,13.6375,,7393.25,0.02,,1.25,-0.02,,2.375,-0.0425,,1.625,8.065,,4599.875,2.1175,,1802.875,9.4675,,1055.5,4.95,,919.25,1.95,,504.375,-0.01,,1.75,-0.035,,0.75,0.0225,,1820.375,-0.005,,1.875,0.1,,2,44.855,,1298.75,0.07,,2968.25,6.8825,,1797.75,-0.015,,1817.625,,,0.41,,1800.25,-0.0225,,1.375,4.15,,3509.125,0.065,,1818.5,0.02,,1821.125,10798.05,,1761.875,2.2,,1819,0.1925,,1818.75,-0.0075,,1817,-0.1,,1820.625,692.585,,1748.625,0.0825,,1821.625,0.0375,,1819.5,0.45,,1820.875,0.03,,3295.875,1.05,,3947.75,29.1225,,3946.75,118.2,,3950.5,0.8225,,3949.375,10.9275,,3946.5,0.0525,,3951.375,-0.35,,3949.25,3.075,,3949.75,0,,3947.75,0.55,,3950.75,0.0825,,3947.75,0.215,,3304.625,0.3625,,1205.625,0.0175,,1.375,-0.005,,0.75
1.884,14.6825,,7395.625,-0.0125,,1,-0.03,,1.5,-0.0375,,0.75,7.965,,4599.75,2.4275,,1802.25,9.155,,1054.625,4.1,,921.625,1.7,,505.625,-0,,1.375,0.0025,,1,0.045,,1820,-0.005,,0.25,-0.4,,1.125,52.335,,1297.75,0.0625,,2967.125,7.705,,1797,0.0375,,1816.125,,,0.74,,1801.25,0.0125,,0.625,5.55,,3507.375,0.015,,1818.375,0.005,,1821.5,10799.6,,1763.25,2.1,,1819.5,0.1825,,1817.875,0.0275,,1816.75,0.45,,1820.5,692.3325,,1749.875,0.175,,1819.25,0.02,,1821.75,0.2,,1820,0,,3298.5,1.5,,3949.75,29.55,,3949.625,112.55,,3951,0.865,,3949.25,10.8825,,3947.625,0.0625,,3947.625,-0.2,,3950.375,2.9425,,3950.5,0.3,,3948.375,0.55,,3950.75,0.0525,,3948.375,0.28,,3304.375,0.3325,,1208.25,0.03,,1,-0.0225,,2.25
1.98,12.9225,95.5651,7395.25,0,0,0.5,-0.0075,-0,1.25,-0,-0,1.5,8.1,37.2509,4598.875,1.96,3.5309,1801.5,7.4,7.8098,1055.375,4.9,4.5239,923.25,0.95,0.4793,504.5,-0.015,-0,2.875,0.015,0,0.75,-0.0125,-0.0228,1820.5,0.01,0,1.125,0.4,0.0008,2,44.38,57.5997,1297.875,0.03,0.089,2966.75,7.335,13.1801,1796.875,0.03,0.0545,1816.875,,,1.81,3.2596,1800.875,-0.0125,-0,1.375,6.2,21.7558,3509,0.01,0.0182,1818.875,-0.0025,-0.0045,1819.5,10799.05,19041.4249,1763.25,2.25,4.0942,1819.625,0.245,0.4453,1817.5,0.0075,0.0137,1820.125,-1.15,-2.093,1820,692.355,1210.2365,1748,0.205,0.3732,1820.5,0.0825,0.1501,1819.25,-0.05,-0.0909,1817.75,0.0475,0.1567,3299.25,1.4,5.5296,3949.75,25.81,101.9301,3949.25,116.35,459.4371,3948.75,0.86,3.3966,3949.5,10.93,43.1639,3949.125,0.035,0.1382,3949.625,-1.05,-4.1475,3950,2.785,11.0039,3951.125,0.75,2.9605,3947.375,0.15,0.5922,3948.25,0.035,0.1382,3949.75,1.0275,3.3937,3302.875,0.275,0.3311,1203.875,0.035,0,0.25,-0.015,-0,0.625
2.076,14.765,109.1521,7392.625,-0.05,-0,0.25,-0.025,-0.0001,3.25,-0.0375,-0,1.125,8.03,36.941,4600.375,1.945,3.5027,1800.875,10.345,10.9075,1054.375,3.2,2.9504,922,2.3,1.1601,504.375,0.0025,0,1.125,-0.015,-0,1.375,0.02,0.0364,1820.75,-0.0125,-0,0.5,-0.15,-0.0001,0.875,54.8525,71.1985,1298,0.08,0.2373,2966.5,7.6725,13.8019,1798.875,0.04,0.0726,1816,,,1.885,3.3961,1801.625,0.005,0,1,4.75,16.6731,3510.125,0.0575,0.1045,1817.5,0.055,0.1,1819,10798.7,19038.1081,1763,1.5,2.7253,1816.875,0.1575,0.2861,1816.75,0.0475,0.0864,1818.75,0.15,0.2728,1818.875,691.8975,1208.9179,1747.25,0.055,0.1,1818.125,0.0225,0.0409,1818.375,-0.45,-0.8189,1819.875,0.0075,0.0247,3295.375,0.85,3.358,3950.625,29.33,115.8352,3949.375,116.15,458.7199,3949.375,0.84,3.3167,3948.5,10.6925,42.2287,3949.375,-0.005,-0.0197,3947.875,0.55,2.1713,3947.875,3.085,12.178,3947.5,0.6,2.3678,3946.25,0.25,0.9869,3947.5,0.0675,0.2664,3946.625,4.5475,15.0227,3303.5,0.3125,0.3764,1204.625,0.04,0.0001,1.875,0.005,0,1.25
2.172,17.065,126.1295,7391.125,-0.0425,-0,1.125,-0.045,-0.0001,2.125,-0.0375,-0,1.125,8.04,36.9729,4598.625,2.1275,3.8306,1800.5,8.8325,9.3172,1054.875,4.05,3.7346,922.125,1.6,0.807,504.375,-0.03,-0,0.75,-0.01,-0,1.25,-0.025,-0.0455,1821.625,0.03,0,1.375,-0.6,-0.0006,1,59.8825,77.72,1297.875,0.08,0.2374,2967.875,8.565,15.3892,1796.75,0.01,0.0182,1816.5,,,1.8275,3.2934,1802.125,-0.0025,-0,0.5,4.85,17.0156,3508.375,0.0475,0.0863,1816.5,0.03,0.0546,1820.625,10799.45,19056.9795,1764.625,2.2,4.0002,1818.25,0.15,0.2726,1817.625,0.0375,0.0681,1817,-0.35,-0.6369,1819.625,691.7475,1210.2987,1749.625,0.23,0.4185,1819.375,0.0325,0.0592,1821.875,0.15,0.2728,1818.5,0.0175,0.0577,3299.5,0.7,2.7635,3947.875,31.3575,123.7602,3946.75,117.95,465.7993,3949.125,0.88,3.4707,3944,10.865,42.8801,3946.625,0.02,0.0789,3942.75,-1.05,-4.1429,3945.625,2.9025,11.4587,3947.875,0.05,0.1974,3948.25,0.25,0.9873,3949.25,0.0675,0.2663,3944.625,0.2125,0.7016,3301.625,0.3,0.3615,1205.125,0,0,2.625,0.01,0,0.5
2.268,14.915,110.2964,7395,-0.025,-0,1.875,-0.0375,-0.0001,1.625,-0.015,-0,1.375,8.0825,37.1714,4599,2.255,4.0652,1802.75,7.825,8.2485,1054.125,3.15,2.8996,920.5,1.2,0.6055,504.625,-0.005,-0,0.875,-0.0325,-0,0.5,0.065,0.1184,1821.75,-0.025,-0,1.125,-0.15,-0.0002,1.125,44.405,57.8042,1301.75,0.075,0.2226,2967.875,7.2775,13.0786,1797.125,0.0275,0.05,1817.875,,,0.7325,1.3192,1801,-0.0325,-0.0001,2.875,5,17.5444,3508.875,0.0475,0.0863,1816.5,-0.005,-0.0091,1822.375,10798.65,19047.4688,1763.875,2.7,4.9086,1818,0.2125,0.3862,1817.625,0.02,0.0363,1814.25,-0.3,-0.5451,1817.125,692.3425,1209.5223,1747,0.16,0.2914,1821.125,0.0475,0.0865,1820.125,1.25,2.2742,1819.375,0.01,0.033,3295.5,1.9,7.5029,3948.875,29.74,117.3838,3947,116.65,460.8696,3950.875,0.8875,3.5032,3947.25,10.7375,42.3943,3948.25,0.0725,0.2864,3950,0.25,0.9872,3949,3.2075,12.666,3948.875,0.9,3.5498,3944.25,0.3,1.1847,3949,-0.0025,-0.0099,3948.25,0.2625,0.8671,3303.125,0.2925,0.3527,1205.75,0.0325,0.0001,1.875,-0.0125,-0,1.625
2.364,14.69,,7393.125,0.0275,,1.25,-0.0325,,1.375,-0.02,,0.75,8.0175,,4599,1.665,,1801.75,8.3325,,1055.25,2.2,,919.625,1.55,,503.875,-0.0075,,2.375,-0.0125,,0.5,0.03,,1821.625,-0.035,,2.625,0.35,,1.125,52.45,,1299,0.09,,2968.75,7.7325,,1796.875,-0.0175,,1817.125,,,0.4075,,1801.875,0.0075,,0.5,9.4,,3509.125,0.0575,,1817.75,0.025,,1820.875,10799.7,,1765.125,2.4,,1818,0.1625,,1818.5,0.0375,,1820.75,-0.35,,1821.5,692.625,,1746.625,0.145,,1821.75,0.0475,,1823.125,1.05,,1817.875,0.0275,,3297,0.6,,3954.75,25.45,,3951.25,105.15,,3953.5,0.8375,,3951.875,10.8725,,3951.75,0.05,,3950,-0.6,,3954,3.175,,3954,0.8,,3951,0.1,,3954.125,0.06,,3949,0.1725,,3302.625,0.28,,1205.625,-0.04,,1.5,-0.0275,,1
2.46,13.03,,7393.125,0.0275,,0.875,-0.045,,2.375,-0.0125,,1.375,8.0825,,4597.5,2.3825,,1802.5,7.1875,,1053.125,3.8,,922.25,2.15,,506.125,-0.01,,1.875,-0.02,,1.875,0.015,,1821,-0.0025,,0.875,0.5,,1.625,44.1625,,1300,0.07,,2967.5,6.8775,,1796.25,0.02,,1818,,,2.5025,,1799.75,0,,1268.125,7.65,,3513.5,0.0025,,1817.375,0.0125,,1819.5,10798.8,,1764,2.3,,1818.875,0.1725,,1818.375,-0.0075,,1817.875,-0.35,,1819.25,692.0025,,1748,0.225,,1820.75,0,,1818.75,0.65,,1818.5,-0.0125,,3299,0.4,,3936.375,29.13,,3934.75,147.65,,3940.5,0.88,,3938.625,10.9425,,3936.75,0.055,,3939.25,-0.5,,3936.5,2.7875,,3937.5,0.9,,3939,0.25,,3937.25,0.06,,3936.625,2.4225,,3302.5,22.62,,1203.5,-0.015,,1.375,-0.0125,,0.25
2.556,14.73,108.8823,7391.875,-0.0275,-0,1.5,-0.045,-0.0001,1.375,-0.05,-0.0001,1.375,7.99,36.76,4600.75,2.01,3.6223,1802.125,8.1775,8.614,1053.375,4.15,3.8294,922.75,1.6,0.8106,506.625,0.02,0,1.125,0.005,0,0.625,0.01,0.0182,1821.625,-0.0175,-0,1,0.3,0.0004,1.375,52.95,68.7159,1297.75,0.0625,0.1855,2967.875,7.735,13.9046,1797.625,0.035,0.0636,1818.25,,,1.505,2.7096,1800.375,0.0325,0.0825,2538.25,4.85,17.032,3511.75,-0.01,-0.0182,1819.875,0.065,0.1183,1820.25,10798.45,19049.8156,1764.125,2.1,3.8223,1820.125,0.1975,0.3597,1821.375,-0.0125,-0.0227,1815.75,0.1,0.1821,1820.875,692.3625,1210.5093,1748.375,0.115,0.2092,1819.5,0.005,0.0091,1819.125,0.35,0.6356,1816,0.0475,0.1566,3297.75,1.35,5.3296,3947.875,30.075,118.691,3946.5,117.7,464.9444,3950.25,0.8625,3.4051,3948,10.855,42.8325,3945.875,-0,-0,3946.25,-0.2,-0.7893,3946.25,3.115,12.3023,3949.375,0.8,3.157,3946.25,0.45,1.777,3948.875,0.04,0.1579,3946.75,0.21,0.6932,3301,0.2925,0.3514,1201.375,0.01,0,0,-0.01,-0,1.125
2.652,14.8025,109.4848,7396.375,-0.0075,-0,2.125,0.01,0,2.375,-0.0525,-0.0001,2.25,8.025,36.899,4598,2.2475,4.0514,1802.625,8.0275,8.464,1054.375,4.05,3.7219,919,1.65,0.8351,506.125,-0.005,-0,3.25,-0.0225,-0,0.75,0.0475,0.0866,1822.75,0,0,0.75,0.05,0.0001,1.125,54.3075,70.3893,1296.125,0.045,0.1336,2969.625,7.7275,13.8844,1796.75,0,0,1816.5,,,2.245,4.0413,1800.125,0.015,0.038,2532.5,4.95,17.3764,3510.375,0.005,0.0091,1820.375,0.03,0.0546,1821.625,10799.25,19024.2288,1761.625,1.85,3.3638,1818.25,0.18,0.3272,1817.75,0.0225,0.0409,1815.625,-0.45,-0.8202,1822.75,691.9275,1208.0189,1745.875,0.1375,0.2501,1819.125,0.0175,0.0318,1819.125,0.5,0.9089,1817.75,7.035,23.2102,3299.25,0.3,1.1841,3946.875,29.73,117.3517,3947.25,118.65,468.6378,3949.75,0.8875,3.5043,3948.5,10.8325,42.7694,3948.25,0.0225,0.0888,3946.25,0.35,1.3814,3947,3.085,12.1831,3949.125,-0.2,-0.7899,3949.25,0.45,1.7774,3949.875,-0.0125,-0.0493,3943,2.3675,7.8201,3303.125,0.2425,0.2913,1201.25,-0.005,-0,2.75,0.03,0,0.5
