USER           PID   TID  PPID        VSZ    RSS WCHAN            ADDR S CMD            
root           122   122     2          0      0 add_hwgenerator_randomness 0 S hwrng
root           123   123     2          0      0 irq_wait_for_interrupt 0 S irq/369-event_0
root           124   124     2          0      0 irq_wait_for_interrupt 0 S irq/369-event_1
root           125   125     2          0      0 irq_wait_for_interrupt 0 S irq/369-event_2
root           126   126     2          0      0 irq_wait_for_interrupt 0 S irq/369-event_3
root           127   127     2          0      0 irq_wait_for_interrupt 0 S irq/369-event_4
root           128   128     2          0      0 irq_wait_for_interrupt 0 S irq/365-rcs_irq
root           129   129     2          0      0 irq_wait_for_interrupt 0 S irq/370-spmi_nack_irq
root           130   130     2          0      0 cmdq_irq_handler_thread 0 S cmdq_irq_thread
root           131   131     2          0      0 rescuer_thread      0 I cmdq_buf_dump
root           132   132     2          0      0 rescuer_thread      0 I cmdq_timeout_ha
root           133   133     2          0      0 rescuer_thread      0 I cmdq_flushq
root           134   134     2          0      0 cmdq_irq_handler_thread 0 S cmdq_irq_thread
root           135   135     2          0      0 rescuer_thread      0 I cmdq_buf_dump
root           136   136     2          0      0 rescuer_thread      0 I cmdq_timeout_ha
root           137   137     2          0      0 rescuer_thread      0 I cmdq_flushq
root           138   138     2          0      0 rescuer_thread      0 I cmdq_vcp_power_
root           139   139     2          0      0 rescuer_thread      0 I cmdq_pkt_destro
root           140   140     2          0      0 mtk_gamma_sof_irq_trigger 0 S gamma_sof
root           141   141     2          0      0 rescuer_thread      0 I aal_flip_sram
root           142   142     2          0      0 rescuer_thread      0 I aal_refresh_tri
root           143   143     2          0      0 disp_aal_wait_sof_irq 0 S aal_sof
root           144   144     2          0      0 rescuer_thread      0 I dither_pure_det
root           145   145     2          0      0 irq_wait_for_interrupt 0 S irq/131-11201000.usb0
root           147   147     2          0      0 rescuer_thread      0 I cpu_freq_wq
root           149   149     2          0      0 rescuer_thread      0 I cpu_core_wq
root           150   150     2          0      0 rescuer_thread      0 I dram_vcore_wq
root           151   151     2          0      0 rescuer_thread      0 I usb_audio_wq
root           152   152     2          0      0 kthread_worker_fn   0 S tee_log
root           153   153     2          0      0 irq_bh_worker       0 D tee_irq_bh
root           154   154     2          0      0 tee_worker_wait     0 S tee_worker/0
root           155   155     2          0      0 tee_worker_wait     0 S tee_worker/1
root           156   156     2          0      0 tee_worker_wait     0 S tee_worker/2
root           157   157     2          0      0 tee_worker_wait     0 S tee_worker/3
root           159   159     2          0      0 irq_wait_for_interrupt 0 S irq/170-11240000.mmc cd
root           160   160     2          0      0 rescuer_thread      0 I regulator_vibra
root           162   162     2          0      0 tcpc_timer_thread_fn 0 S tcpc_timer_type_c_port0
root           163   163     2          0      0 pps_request_thread_fn 0 S pps_request_type_c_port0
root           164   164     2          0      0 kthread_worker_fn   0 S card0-crtc0
root           165   165     2          0      0 kthread_worker_fn   0 S card0-crtc1
root           166   166     2          0      0 kthread_worker_fn   0 S card0-crtc2
root           167   167     2          0      0 kthread_worker_fn   0 S card0-crtc3
root           168   168     2          0      0 rescuer_thread      0 I cmdq_flushq
root           169   169     2          0      0 rescuer_thread      0 I cmdq_flushq
root           170   170     2          0      0 rescuer_thread      0 I cmdq_flushq
root           171   171     2          0      0 rescuer_thread      0 I cmdq_flushq
root           172   172     2          0      0 mtk_crtc_wait_status 0 S mtk_drm_disp_idlemgr-0
root           173   173     2          0      0 mtk_drm_async_kick_idlemgr_thread 0 S dis_ki-0
root           174   174     2          0      0 mtk_crtc_enable_vblank_thread 0 S enable_vblank
root           175   175     2          0      0 mtk_drm_cwb_monitor_thread 0 S mtk_drm_cwb
root           176   176     2          0      0 mtk_drm_esd_check_worker_kthread 0 S disp_echk
root           177   177     2          0      0 mtk_drm_fake_vsync_kthread 0 S mtk_drm_fake_vsync:0
root           178   178     2          0      0 _mtk_crtc_check_trigger 0 S ddp_trig
root           179   179     2          0      0 _mtk_crtc_check_trigger_delay 0 S ddp_trig_d
root           180   180     2          0      0 _mtk_crtc_cmdq_retrig 0 S ddp_cmdq_trig
root           181   181     2          0      0 mtk_drm_pf_release_thread 0 S pf_release_thread
root           182   182     2          0      0 mtk_drm_sf_pf_release_thread 0 S sf_pf_release_thread
root           183   183     2          0      0 mtk_drm_signal_fence_worker_kthread 0 S signal_fence
root           184   184     2          0      0 rescuer_thread      0 I cmdq_flushq
root           185   185     2          0      0 mtk_drm_pf_release_thread 0 S pf_release_thread
root           186   186     2          0      0 mtk_drm_sf_pf_release_thread 0 S sf_pf_release_thread
root           187   187     2          0      0 mtk_drm_signal_fence_worker_kthread 0 S signal_fence
root           188   188     2          0      0 rescuer_thread      0 I cmdq_flushq
root           189   189     2          0      0 mtk_drm_pf_release_thread 0 S pf_release_thread
root           190   190     2          0      0 mtk_drm_sf_pf_release_thread 0 S sf_pf_release_thread
root           191   191     2          0      0 mtk_drm_signal_fence_worker_kthread 0 S signal_fence
root           194   194     2          0      0 kthread_worker_fn   0 S spi0
root           195   195     2          0      0 kthread_worker_fn   0 S spi1
root           196   196     2          0      0 kthread_worker_fn   0 S spi2
root           197   197     2          0      0 kthread_worker_fn   0 S spi3
root           198   198     2          0      0 kthread_worker_fn   0 S spi4
root           199   199     2          0      0 kthread_worker_fn   0 S spi5
root           200   200     2          0      0 kthread_worker_fn   0 S spi6
root           201   201     2          0      0 kthread_worker_fn   0 S spi7
root           202   202     2          0      0 irq_wait_for_interrupt 0 S irq/161-0-0065
root           203   203     2          0      0 charger_routine_thread 0 S charger_thread
root           204   204     2          0      0 irq_wait_for_interrupt 0 S irq/159-5-006b
root           205   205     2          0      0 mmi_hvdcp_detect_kthread 0 S mmi_hvdcp_authen
root           209   209     2          0      0 typec_attach_thread 0 S attach_thread
root           210   210     2          0      0 pehv_algo_threadfn  0 S pehv_algo_task
root           211   211     2          0      0 pe50_algo_threadfn  0 S pe50_algo_task
root           212   212     2          0      0 rescuer_thread      0 I lbat_service
root           213   213     2          0      0 gauge_coulomb_thread 0 S gauge_coulomb_thread
root           214   214     2          0      0 battery_update_routine 0 S battery_thread
root           215   215     2          0      0 power_misc_routine_thread 0 S power_misc_thread
root           216   216     2          0      0 rescuer_thread      0 I extcon_usb
root           217   217     2          0      0 tcpc_event_thread_fn 0 S tcpc_event_type_c_port0
root           218   218     2          0      0 scsi_error_handler  0 S scsi_eh_0
root           219   219     2          0      0 rescuer_thread      0 I scsi_tmf_0
root           220   220     2          0      0 rescuer_thread      0 I mtk_btag_uevt
root           221   221     2          0      0 rescuer_thread      0 I ufs_eh_wq_0
root           222   222     2          0      0 rescuer_thread      0 I ufs_clk_gating_
root           224   224     2          0      0 rescuer_thread      0 I cfg80211
root           227   227     2          0      0 worker_thread       0 I kworker/1:1H-kblockd
root           233   233     2          0      0 issue_checkpoint_thread 0 S f2fs_ckpt-259:2
root           234   234     2          0      0 issue_flush_thread  0 S f2fs_flush-259:2
root           235   235     2          0      0 issue_discard_thread 0 S f2fs_discard-259:2
root           236   236     2          0      0 gc_thread_func      0 S f2fs_gc-259:2
root           237   237     2          0      0 rescuer_thread      0 I kdmflush
root           238   238     2          0      0 rescuer_thread      0 I kdmflush
root           239   239     2          0      0 rescuer_thread      0 I kdmflush
root           240   240     2          0      0 rescuer_thread      0 I kdmflush
root           241   241     2          0      0 rescuer_thread      0 I kdmflush
root           242   242     2          0      0 rescuer_thread      0 I kdmflush
root           243   243     2          0      0 rescuer_thread      0 I kdmflush
root           244   244     2          0      0 rescuer_thread      0 I kdmflush
root           245   245     2          0      0 rescuer_thread      0 I kverityd
root           246   246     2          0      0 rescuer_thread      0 I kdmflush
root           247   247     2          0      0 rescuer_thread      0 I kverityd
root           248   248     2          0      0 rescuer_thread      0 I kdmflush
root           249   249     2          0      0 rescuer_thread      0 I kverityd
root           250   250     2          0      0 rescuer_thread      0 I kdmflush
root           251   251     2          0      0 rescuer_thread      0 I kverityd
root           253   253     2          0      0 rescuer_thread      0 I kdmflush
root           254   254     2          0      0 rescuer_thread      0 I kverityd
root           255   255     2          0      0 rescuer_thread      0 I kdmflush
root           256   256     2          0      0 rescuer_thread      0 I kverityd
root           257   257     2          0      0 kjournald2          0 S jbd2/sdc12-8
root           258   258     2          0      0 rescuer_thread      0 I ext4-rsv-conver
root           264   264     1    2197184   7476 do_sys_poll         0 S init
root           265   265     1    2301760   8760 do_sys_poll         0 S ueventd
root           271   271     2          0      0 worker_thread       0 I kworker/5:1H-kverityd
root           365   365     2          0      0 rescuer_thread      0 I ext4-rsv-conver
root           366   366     2          0      0 rescuer_thread      0 I ext4-rsv-conver
root           367   367     2          0      0 rescuer_thread      0 I ext4-rsv-conver
root           368   368     2          0      0 rescuer_thread      0 I ext4-rsv-conver
root           369   369     2          0      0 rescuer_thread      0 I ext4-rsv-conver
root           406   406     2          0      0 rescuer_thread      0 I config_load
root           407   407     2          0      0 rescuer_thread      0 I config_store
root           408   408     2          0      0 rescuer_thread      0 I hw_load
root           409   409     2          0      0 rescuer_thread      0 I hw_store
root           412   412     2          0      0 trusty_task_nop     0 S id0_trusty_n/0
root           413   413     2          0      0 trusty_task_nop     0 S id0_trusty_n/1
root           414   414     2          0      0 trusty_task_nop     0 S id0_trusty_n/2
root           415   415     2          0      0 trusty_task_nop     0 S id0_trusty_n/3
root           416   416     2          0      0 trusty_task_nop     0 S id0_trusty_n/4
root           417   417     2          0      0 trusty_task_nop     0 S id0_trusty_n/5
root           418   418     2          0      0 trusty_task_nop     0 S id0_trusty_n/6
root           419   419     2          0      0 trusty_task_nop     0 S id0_trusty_n/7
root           420   420     2          0      0 kthread_worker_fn   0 S trusty_poll_task
root           421   421     2          0      0 trusty_task_kick    0 S id0_trusty_k/0
root           422   422     2          0      0 trusty_task_kick    0 S id0_trusty_k/1
root           423   423     2          0      0 trusty_task_kick    0 S id0_trusty_k/2
root           424   424     2          0      0 trusty_task_chk     0 S id0_trusty_c/0
root           425   425     2          0      0 ree_dummy_thread    0 S ree_dummy_task
root           427   427     2          0      0 rescuer_thread      0 I tmem_regmgr_def
root           428   428     2          0      0 rescuer_thread      0 I tmem_regmgr_def
root           429   429     2          0      0 rescuer_thread      0 I tmem_regmgr_def
root           430   430     2          0      0 rescuer_thread      0 I tmem_regmgr_def
root           431   431     2          0      0 rescuer_thread      0 I tmem_regmgr_def
root           432   432     2          0      0 rescuer_thread      0 I tmem_regmgr_def
root           433   433     2          0      0 rescuer_thread      0 I tmem_regmgr_def
root           435   435     2          0      0 rescuer_thread      0 I cmdq_sec_notify
root           436   436     2          0      0 rescuer_thread      0 I cmdq_sec_timeou
root           437   437     2          0      0 rescuer_thread      0 I cmdq_sec_notify
root           438   438     2          0      0 rescuer_thread      0 I cmdq_sec_timeou
root           441   441     2          0      0 rescuer_thread      0 I task_exec_wq_10
root           442   442     2          0      0 rescuer_thread      0 I cmdq_flushq
root           443   443     2          0      0 rescuer_thread      0 I cmdq_flushq
root           444   444     2          0      0 rescuer_thread      0 I cmdq_flushq
root           445   445     2          0      0 rescuer_thread      0 I cmdq_flushq
root           446   446     2          0      0 rescuer_thread      0 I cmdq_flushq
root           447   447     2          0      0 rescuer_thread      0 I cmdq_auto_relea
root           448   448     2          0      0 rescuer_thread      0 I cmdq_auto_relea
root           449   449     2          0      0 rescuer_thread      0 I cmdq_auto_relea
root           450   450     2          0      0 rescuer_thread      0 I cmdq_auto_relea
root           451   451     2          0      0 rescuer_thread      0 I cmdq_auto_relea
root           452   452     2          0      0 rescuer_thread      0 I cmdq_auto_relea
root           453   453     2          0      0 rescuer_thread      0 I cmdq_auto_relea
root           454   454     2          0      0 rescuer_thread      0 I cmdq_auto_relea
root           455   455     2          0      0 rescuer_thread      0 I cmdq_auto_relea
root           456   456     2          0      0 rescuer_thread      0 I cmdq_auto_relea
root           457   457     2          0      0 rescuer_thread      0 I cmdq_auto_relea
root           458   458     2          0      0 rescuer_thread      0 I cmdq_auto_relea
root           459   459     2          0      0 rescuer_thread      0 I cmdq_auto_relea
root           460   460     2          0      0 rescuer_thread      0 I cmdq_auto_relea
root           461   461     2          0      0 rescuer_thread      0 I cmdq_auto_relea
root           462   462     2          0      0 rescuer_thread      0 I cmdq_auto_relea
root           463   463     2          0      0 rescuer_thread      0 I cmdq_auto_relea
root           464   464     2          0      0 rescuer_thread      0 I cmdq_auto_relea
root           465   465     2          0      0 rescuer_thread      0 I cmdq_auto_relea
root           466   466     2          0      0 rescuer_thread      0 I cmdq_auto_relea
root           467   467     2          0      0 rescuer_thread      0 I cmdq_auto_relea
root           468   468     2          0      0 rescuer_thread      0 I cmdq_auto_relea
root           469   469     2          0      0 rescuer_thread      0 I cmdq_auto_relea
root           470   470     2          0      0 rescuer_thread      0 I cmdq_auto_relea
root           471   471     2          0      0 rescuer_thread      0 I cmdq_resource
root           472   472     2          0      0 rescuer_thread      0 I cmdq_mdp_task
root           473   473     2          0      0 dlpt_notify_handler 0 S dlpt_notify_thread
root           476   476     2          0      0 rescuer_thread      0 I pool_reload_wor
root           477   477     2          0      0 fsm_main_thread     0 S ccci_fsm
root           478   478     2          0      0 msleep              0 D ccci_poll
root           479   479     2          0      0 rescuer_thread      0 I ccmni0_rx_q_wor
root           480   480     2          0      0 rescuer_thread      0 I ccmni1_rx_q_wor
root           481   481     2          0      0 rescuer_thread      0 I ccmni2_rx_q_wor
root           482   482     2          0      0 rescuer_thread      0 I ccmni3_rx_q_wor
root           483   483     2          0      0 rescuer_thread      0 I ccmni4_rx_q_wor
root           484   484     2          0      0 rescuer_thread      0 I ccmni5_rx_q_wor
